Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Office Supplies,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,2600.00,2000.00,2000.00,1500.00,2000.00,2000.00,2000.00,1600.00,1600.00,1600.00,1600.00,2100.00,2100.00,1163.00,1083.00,296.00,1432.00,349.00,1467.48,1095.47,100.00,2402.00,1789.00,1414.00,1089.00,1832.00,1871.00,1707.00,1430.00,1432.00,1427.00,1232.00,1894.00,2095.00,1163.00,1056.00,296.00,1432.00,349.00,1467.48,1095.47
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Postage,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,13862.00,14200.00,8500.00,10000.00,8500.00,8500.00,9200.00,10000.00,11500.00,14350.00,14450.00,13250.00,14850.00,17401.00,11776.00,4317.00,3320.00,320.00,3490.00,980.84,500.00,13797.00,14184.00,8376.00,9864.00,8321.00,8090.00,8983.00,9953.00,11480.00,14327.00,14420.00,13232.00,14850.00,17401.00,11776.00,4317.00,3320.00,320.00,3490.00,980.84
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Travel,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,1648.00,1135.00,1135.00,1135.00,1135.00,1385.00,1385.00,1085.00,1050.00,750.00,750.00,1050.00,699.00,899.00,802.00,374.00,0.00,0.00,0.00,56.50,50.00,1445.00,668.00,1075.00,809.00,1129.00,771.00,1166.00,826.00,776.00,659.00,658.00,878.00,699.00,899.00,802.00,374.00,0.00,0.00,0.00,56.50
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Publishing,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,2800.00,3000.00,2800.00,2800.00,3300.00,3300.00,3300.00,3900.00,3600.00,1800.00,2700.00,2600.00,2522.00,3721.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,2787.00,2923.00,1747.00,2770.00,2623.00,2445.00,2745.00,3839.00,3535.00,1732.00,2602.00,2586.00,2522.00,3721.00,1000.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Telephone,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,1300.00,1550.00,1750.00,1250.00,1500.00,1250.00,1250.00,1250.00,1053.00,1200.00,1200.00,1400.00,1169.00,1200.00,1200.00,1219.00,1191.00,1187.00,1184.83,1383.92,1400.00,1128.00,875.00,790.00,926.00,851.00,891.00,879.00,1056.00,762.00,1029.00,1113.00,1153.00,1169.00,1174.00,1182.00,1219.00,1191.00,1187.00,1174.07,1372.45
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Equipment Repairs,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,1400.00,10000.00,2000.00,2000.00,1500.00,1500.00,1500.00,1400.00,1100.00,1300.00,1100.00,800.00,1487.00,1081.00,1131.00,1100.00,1295.00,1507.00,1515.17,1885.40,1900.00,1211.00,628.00,1048.00,630.00,1206.00,703.00,1179.00,988.00,941.00,1106.00,961.00,693.00,1487.00,992.00,1131.00,1100.00,1295.00,1507.00,1515.17,1885.40
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Insurance,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,900.00,900.00,900.00,900.00,1150.00,1150.00,1150.00,1150.00,1150.00,950.00,900.00,1150.00,1057.00,942.00,942.00,781.00,2.00,530.00,0.00,0.00,0.00,857.00,857.00,857.00,857.00,880.00,880.00,880.00,880.00,882.00,880.00,880.00,994.00,1057.00,942.00,46.00,781.00,2.00,530.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Education & Training,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,200.00,200.00,700.00,200.00,700.00,700.00,0.00,0.00,250.00,50.00,0.00,250.00,0.00,0.00,0.00,15.00,200.00,0.00,0.00,160.00,50.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,200.00,0.00,0.00,160.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Miscellaneous,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,200.00,400.00,600.00,600.00,600.00,600.00,600.00,700.00,600.00,500.00,600.00,600.00,488.00,0.00,46.00,0.00,0.00,200.00,331.20,233.33,0.00,20.00,295.00,345.00,345.00,345.00,410.00,410.00,395.00,306.00,321.00,345.00,345.00,488.00,0.00,942.00,0.00,0.00,200.00,331.20,233.33
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Equipment,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,5000.00,0.00,1500.00,1500.00,1500.00,1500.00,1500.00,800.00,500.00,300.00,0.00,500.00,486.00,0.00,0.00,0.00,0.00,0.00,2244.97,0.00,0.00,4913.00,0.00,529.00,1151.00,422.00,1086.00,1340.00,706.00,0.00,140.00,0.00,330.00,472.00,0.00,0.00,0.00,0.00,0.00,2244.97,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Salaries & Benefits,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,20160.00,20160.00,25000.00,25000.00,25000.00,26200.00,37900.00,41400.00,41400.00,41400.00,42277.00,43474.00,44706.00,45975.00,47261.00,50145.00,46926.00,46930.00,46930.00,46894.80,46895.00,20160.00,20160.00,23790.00,25000.00,25000.00,26200.00,37900.00,41400.00,41400.00,41400.00,42278.00,43474.00,44706.00,45975.00,40808.00,46295.00,46901.00,46926.00,46930.00,46894.80
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Office Supplies,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,754.00,1535.00,522.00,374.00,902.00,1852.00,1454.00,1407.00,637.00,1078.00,409.00,873.00,724.00,1057.00,408.00,4085.00,4672.00,2500.00,2172.11,2031.95,2000.00,754.00,332.00,311.00,374.00,871.00,1852.00,1454.00,1393.00,622.00,1078.00,409.00,873.00,724.00,1057.00,408.00,4031.00,4672.00,811.00,1394.46,2031.95
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Postage,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,908.00,100.00,21.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,908.00,20.91,19.69
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Medical Exams,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,17559.00,10250.00,12403.00,13028.00,15743.00,20356.00,22150.00,23334.00,21762.00,24873.00,22737.00,22192.00,34617.00,21127.00,28367.00,18030.00,17462.00,20588.00,21296.00,26978.50,20445.00,17595.00,10059.00,12403.00,13028.00,15743.00,20356.00,22124.00,23334.00,21512.00,24873.00,22738.00,22192.00,34616.00,21127.00,28368.00,9277.00,12407.00,13065.00,20305.38,26978.50
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Deputy Coroner Fees,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,870.00,1000.00,1500.00,1500.00,1500.00,1500.00,931.00,661.00,521.00,450.00,400.00,550.00,600.00,300.00,400.00,1000.00,1000.00,800.00,800.00,391.25,1100.00,870.00,840.00,805.00,1072.00,1180.00,1250.00,388.00,661.00,521.00,450.00,400.00,550.00,600.00,300.00,400.00,200.00,100.00,300.00,700.00,300.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Special Fund for Extra Service,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Telephone,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,1132.00,1323.00,1500.00,1500.00,1803.00,2271.00,1965.00,2132.00,2402.00,2864.00,3268.00,2206.00,2248.00,2396.00,2515.00,1600.00,1875.00,1800.00,1938.91,1663.75,1750.00,1132.00,1323.00,1187.00,1347.00,1803.00,2271.00,1947.00,2132.00,2313.00,2864.00,825.00,2206.00,2248.00,2396.00,2443.00,1460.00,1875.00,1346.00,1938.91,1663.75
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Insurance,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0.00,50.00,170.00,50.00,150.00,50.00,172.00,50.00,0.00,0.00,269.00,0.00,15.00,0.00,269.00,100.00,5.00,10.00,10.00,0.00,10.00,0.00,0.00,170.00,0.00,151.00,0.00,172.00,0.00,0.00,0.00,3269.00,0.00,0.00,0.00,269.00,2.00,2.00,0.00,2.00,0.00
