Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Appropriations 2016,Appropriations 2017,Appropriations 2018,Appropriations 2019,Appropriations 2020,Appropriations 2021,Appropriations 2022,Appropriations 2023,Appropriations 2024,Appropriations 2025,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014,Expenditures 2015,Expenditures 2016,Expenditures 2017,Expenditures 2018,Expenditures 2019,Expenditures 2020,Expenditures 2021,Expenditures 2022,Expenditures 2023,Expenditures 2024,Expenditures 2025
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,"Books, Transcripts, & Periodicals",http://macoupincountyclerk.com,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4988,9370,7812,0,0,0,0,0,0,0,455875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,4988,9370,7812,0,0,0,0,0,0,0,455875
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Salaries & Benefits,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,107715,121215,129015,130664,144364,151219,155080,155735,157704,169910,174175,182525,161942,155873,142426,144284,162294,169105,162964,143605,145790,134994,134917,137050,141171,120143,121160,146193,131542,132960,133460,107501,118039,124596,127114,139176,144949,152297,147973,157694,169544,172436,180520,161942,155873,142426,144284,162294,169105,162965,143605,145790,134994,134917,137050,120143,120043,121151,146193,131542,131298,129647
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Office Supplies,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,2600,2000,2000,1500,2000,2000,2000,1600,1600,1600,1600,2100,2100,1163,1083,296,1432,349,1467,1095,2921,4667,2019,410,1098,1000,4122,908,2181,1550,1159,2402,1789,1414,1089,1832,1871,1707,1430,1432,1427,1232,1894,2095,1163,1056,296,1432,349,1467,1095,2921,467,2019,410,1000,678,4122,908,2181,1282,1159
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Postage,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,13862,14200,8500,10000,8500,8500,9200,10000,11500,14350,14450,13250,14850,17401,11776,4317,3320,320,3490,981,0,8929,356,4772,1150,22280,735,452,4440,5000,5000,13797,14184,8376,9864,8321,8090,8983,9953,11480,14327,14420,13232,14850,17401,11776,4317,3320,320,3490,981,0,8922,356,4772,22280,10565,735,452,476,4507,4968
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Travel,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,1648,1135,1135,1135,1135,1385,1385,1085,1050,750,750,1050,699,899,802,374,0,0,0,57,90,59,200,200,200,200,300,205,200,200,200,1445,668,1075,809,1129,771,1166,826,776,659,658,878,699,899,802,374,0,0,0,57,90,59,200,200,200,200,200,205,200,200,200
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Publishing,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,2800,3000,2800,2800,3300,3300,3300,3900,3600,1800,2700,2600,2522,3721,1000,0,0,0,0,0,0,0,0,0,0,0,61,0,549,0,0,2787,2923,1747,2770,2623,2445,2745,3839,3535,1732,2602,2586,2522,3721,1000,0,0,0,0,0,0,0,0,0,0,0,61,0,549,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Telephone,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,1300,1550,1750,1250,1500,1250,1250,1250,1053,1200,1200,1400,1169,1200,1200,1219,1191,1187,1185,1384,1732,1406,1410,1408,0,0,0,0,887,0,0,1128,875,790,926,851,891,879,1056,762,1029,1113,1153,1169,1174,1182,1219,1191,1187,1185,1372,1732,1406,1383,1408,0,0,0,0,887,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Equipment Repairs,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,1400,10000,2000,2000,1500,1500,1500,1400,1100,1300,1100,800,1487,1081,1131,1100,1295,1507,1515,1885,1631,945,997,58,0,791,7393,4227,3338,700,689,1211,628,1048,630,1206,703,1179,988,941,1106,961,693,1487,992,1131,1100,1295,1507,1515,1885,1556,945,997,58,791,791,7393,4227,3338,557,689
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Insurance,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,900,900,900,900,1150,1150,1150,1150,1150,950,900,1150,1057,942,942,781,2,530,0,0,2,0,0,0,2,0,2,0,2,0,0,857,857,857,857,880,880,880,880,882,880,880,994,1057,942,46,781,2,530,0,0,2,0,0,0,0,0,2,0,2,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Education & Training,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,200,200,700,200,700,700,0,0,250,50,0,250,0,0,0,15,200,0,0,160,1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,15,200,0,0,160,1595,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Miscellaneous,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,200,400,600,600,600,600,600,700,600,500,600,600,488,0,46,0,0,200,331,233,228,200,3144,0,0,0,0,166,3160,2248,0,20,295,345,345,345,410,410,395,306,321,345,345,488,0,942,0,0,200,331,233,228,200,3144,0,0,0,0,9924,3336,2248,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Equipment,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,5000,0,1500,1500,1500,1500,1500,800,500,300,0,500,486,0,0,0,0,0,2245,0,0,0,282,0,1427,1784,0,0,0,0,0,4913,0,529,1151,422,1086,1340,706,0,140,0,330,472,0,0,0,0,0,2245,0,0,0,282,0,1784,1784,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,2,County Treasurer,County Treasurer,Office Machine Rent,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,0,0,1110,1325,1784,1800,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,0,0,1070,1325,1325,1325,1325
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Salaries & Benefits,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,20160,20160,25000,25000,25000,26200,37900,41400,41400,41400,42277,43474,44706,45975,47261,50145,46926,46930,46930,46895,46895,46995,50187,54034,51284,54285,45071,47735,45436,46781,59400,20160,20160,23790,25000,25000,26200,37900,41400,41400,41400,42278,43474,44706,45975,40808,46295,46901,46926,46930,46895,46895,46995,50187,51384,54285,51484,45071,43900,44818,46700,49927
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Office Supplies,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,754,1535,522,374,902,1852,1454,1407,637,1078,409,873,724,1057,408,4085,4672,2500,2172,2032,2000,987,1062,750,750,1017,1000,1000,714,325,94,754,332,311,374,871,1852,1454,1393,622,1078,409,873,724,1057,408,4031,4672,811,2172,2032,1552,987,1062,741,1017,1017,346,105,0,325,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Postage,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,908,100,22,100,66,75,479,75,75,150,150,100,37,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,908,100,20,55,66,16,479,75,13,0,0,0,37,120
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Medical Exams,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,17559,10250,12403,13028,15743,20356,22150,23334,21762,24873,22737,22192,34617,21127,28367,18030,17462,20588,21296,26979,23267,25511,36917,30777,33800,29097,30000,26962,29300,49472,43827,17595,10059,12403,13028,15743,20356,22124,23334,21512,24873,22738,22192,34616,21127,28368,9277,12407,13065,21296,26979,23267,25511,33638,16819,29097,27376,27701,20289,25715,49467,42455
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Deputy Coroner Fees,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,870,1000,1500,1500,1500,1500,931,661,521,450,400,550,600,300,400,1000,1000,800,800,391,100,400,800,1200,1400,1400,2150,2150,1650,300,650,870,840,805,1072,1180,1250,388,661,521,450,400,550,600,300,400,200,100,300,800,300,100,400,350,250,1400,650,200,500,200,300,200
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Special Fund for Extra Service,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0,0,0,0,0,0,0,0,0,0,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
